,G,왕되신 주께 감사하세,A,찬양하세,Bb,위대하신 주,D,모든 이름위에 뛰어난,,,E,부르신 곳에서,,,F,마음의 상한 자를,A,찬양하세,G,예수 메시야,,,G,왕의 왕 주의 주,,,D,주의 사랑을 주의 선하심을,E,나의 마음을 정금과 같이,A,모든 상황 속에서,,,,,G,일어나라 주의 백성,,,,
,,,Bb,새 힘얻으리,C,사랑하는 나의 아버지,D.E,주를 위한 이곳에,,,F,온맘다해,,,F,예수는 나의 힘이요,A,나는 찬양하리라,G,십자가를 질 수 있나(519),,,G,주님의 영광 나타 나셨네,,,E,사랑해요 목소리 높여,E,나의 백성이 다 겸비하여,A,주 발 앞에 무릎 꿇고,,,,,G,창조의 아버지,,,,
,,,C,구원이 하나님과 보좌위에,C,찬양을 드리며 주앞에,E,사랑해요 목소리 높여,,,F,나의 모습 나의 소유,,,G,오소서 오 나의 성령이여,A,아름답고 놀라운 주 예수,G,십자가 그사랑,,,G,하늘과 땅 모두 즐거워 하라,,,E,내 마음을 가득채운,F,마음의 상한 자를,A,주 없이 살수 없네(굳게 닫힌),,,,,G,세상 모든 민족이,,,,
,,,C,거리마다 기쁨으로,D,이와 같은 때엔,"E,F",거룩한 땅에,,,G,십자가를 질 수 있나(519),,,G,주 여호와의 신이,A,주가 보이신 생명의길,G,십자가를 참으신 어린양,,,G,내눈 주의 영광을 보네,,,E,주를 향한 나의 사랑을,F,우리는 주의 백성이오니,Bb,주 앞에 나와 제사를,,,,,G,내눈 주의 영광을 보네,,,,
,,,D,주의 자비가 내려와,D,예수 하나님의 공의,"E,F",빛 되신 주,,,G,주를 높이기 원합니다,,,G,하늘에 나는 새도,A,우리 보좌 앞에 모였네,,,,,G,영광을 돌리세,,,E,아버지 사랑합니다,G,나 주님의 기쁨되기 원하네,D,주의 사랑을 주의 선하심을,,,,,,,,,,
,,,D,할렐루야 살아계신 주,D,오직 예수 다른 이름은 없네,"E,F",부르신 곳에서,,,G,주님을 보게하소서,,,G,성령의 불 타는 교회,A,주 발 앞에 무릎 꿇고,,,,,G,창조의 아버지,,,"E,F",나를 향한 주의 사랑,G,하늘에 계신 아버지,E,나를 지으신 주님,,,,,,,,,,
,,,D,내 평생 사는동안,D,주의 인자는 끝이 없고,"E,F",주께서 높은 보좌에,,,,,,,G,마지막 날에,A,영광의 주님찬양하세,,,,,G,세상모든 민족이,,,F,온맘다해,G,주님의 손으로,F,이 땅에 오직 주밖에,,,,,,,,,,
,,,D,찬양의 제사드리며,D,내 평생 사는동안,"E,F",아버지 사랑합니다,,,,,,,G,주님의 손으로,"A, Bb",내 구주 예수님,,,,,G,당신은 영광의 왕,,,F,아버지 사랑 내가 노래해,G,정결한 맘 주시옵소서,F,세상 흔들리고,,,,,,,,,,
,,,D,감사와 찬양드리며,D,찬양의 제사드리며,F,완전하신 나의 주,,,,,,,G,정결한 맘 주시옵소서,Bb,위대하신 주,,,,,,,,,F,온맘다해 주 사랑하라,G,주님 마음 내게주소서,F,약할때 강함되시네,,,,,,,,,,
,,,E,존귀 오 존귀하신 주,D,주의 인자는 끝이 없고,F,햇살보다 밝게 빛나는,,,,,,,,,C,구원이 하나님과 보좌위에,,,,,,,,,G,다 표현 못해도,G,주님을 보게하소서,F,주님을 더욱 알기 원하네,,,,,,,,,,
